i,j,x,y
5,21,8.653132617027056,24.956785416934807
5,22,8.643478336458957,25.931664714999673
5,23,8.60174294401798,26.987260109337665
5,24,8.523954273521927,28.122633326448522
5,25,8.403123251982471,29.34089700409539
5,26,8.231152315065355,30.64769955763839
5,27,7.999228573656522,32.049833398937686
5,28,7.697519786041069,33.554354233766674
5,29,7.3146562360312135,35.16817701228788
5,30,6.837293039743822,36.89795325278591
5,31,6.25,38.75
6,0,7.5,0.0
6,1,8.101445764091727,1.9220727625044576
6,2,8.591309167688847,3.714656899022295
6,3,8.984204332608972,5.3821956849388775
6,4,9.292368651260215,6.930005039883932
6,5,9.525691940971281,8.364273816634686
6,6,9.692173956051231,9.692173956051231
6,7,9.798643098369837,10.921898809891749
6,8,9.851612171426769,12.062353005872744
6,9,9.85810394933661,13.122096392178447
6,10,9.825946799076108,14.107168105503165
6,11,9.761847714230608,15.018296889185205
6,12,9.647175451284513,15.989197723114094
6,13,9.557499990539549,16.94292234771432
6,14,9.461481856359514,17.935524511269453
6,15,9.418720490552161,19.054689941856527
6,16,9.466665663964378,20.00091611141481
6,17,9.417803887067416,20.9478735207045
6,18,9.459168674610066,22.068579167982588
6,19,9.553110389506845,23.063833410304586
6,20,9.638902200275254,24.022868956223363
6,21,9.747370420427874,25.002417515941726
6,22,9.801666764868767,25.92733630042687
6,23,9.818215236590106,26.934328310501602
6,24,9.788865913052726,28.025770092084112
6,25,9.704172716459144,29.209137483160205
6,26,9.555240143980313,30.494172425261326
6,27,9.333336730220502,31.89071129906876
6,28,9.029003161770087,33.40763663528319
6,29,8.631195828458457,35.05254413916334
6,30,8.126696110118102,36.831700318943575
6,31,7.5,38.75
7,0,8.75,0.0
7,1,9.371816819846352,1.9827762644640803
7,2,9.872387578774411,3.8198525854578045
7,3,10.26701622480129,5.514493895598569
7,4,10.567819149317316,7.07140638930794
7,5,10.783881927075665,8.49679124449586
7,6,10.921898809891749,9.798643098369837
7,7,10.987117896434482,10.98711789643448
7,8,10.984561028533992,12.07463052142569
7,9,10.920627728175916,13.074933421454478
7,10,10.805249788781863,13.999645487796615
7,11,10.652752446967666,14.851084480636747
7,12,10.41953695867774,15.81480956981872
7,13,10.233728205341484,16.755259965306806
7,14,10.037942892427003,17.78232609052943
7,15,9.931594763131823,18.99325099670011
7,16,10.0,20.0
7,17,9.931224146452651,21.00754876390767
7,18,10.036915904993279,22.21940309237292
7,19,10.231576420413182,23.2480136447887
7,20,10.414400061602112,24.192727848054055
7,21,10.642591061511416,25.163718569370953
7,22,10.786197960093688,26.02820900685222
7,23,10.886443342806412,26.975281328934834
7,24,10.927457874820591,28.009308760708723
7,25,10.897627085469736,29.143614313650446
7,26,10.788621009395026,30.393253208624273
7,27,10.593100578851267,31.771578097361058
7,28,10.303002189996045,33.28933866080284
7,29,9.908265425194278,34.95474586899164
7,30,9.39596015713391,36.77372490289708
7,31,8.75,38.75
8,0,10.0,0.0
8,1,10.622890871611588,2.037399266666093
8,2,11.116429624492906,3.911614120874658
8,3,11.497247432028788,5.625065326616157
8,4,11.77721153889549,7.18185874933878
8,5,11.964058743268808,8.587927065710167
8,6,12.062353005872744,9.851612171426767
8,7,12.07463052142569,10.984561028533992
8,8,12.002742980608707,12.002742980608705
8,9,11.849687162556526,12.926868179498468
8,10,11.624213391517923,13.778618598121467
8,11,11.3562153458593,14.559067549356193
8,12,10.959429780914508,15.523270180089343
8,13,10.636708224309555,16.488765584116084
8,14,10.29857499854668,17.57464374963667
8,15,10.077221232863323,18.759652654107917
8,16,10.0,20.0
8,17,10.077221232863323,21.240347345892083
8,18,10.29857499854668,22.42535625036333
8,19,10.636708224309555,23.511234415883916
8,20,10.957522386342317,24.47954871246812
8,21,11.351277514032656,25.44827567399449
8,22,11.611974465574146,26.23991212000323
8,23,11.823686203179697,27.113175077324637
8,24,11.954814117201792,28.07190081084726
8,25,11.994937892029476,29.139788595532963
8,26,11.939177881875601,30.338954946048062
8,27,11.783351562291505,31.6863169727509
8,28,11.521962212585043,33.194074741260934
8,29,11.14669534109856,34.87070737176257
8,30,10.645151725778556,36.72173514811945
8,31,10.0,38.75
9,0,11.25,0.0
9,1,11.852915639061935,2.0873041832435484
9,2,12.321525396027948,3.9925354863564912
9,3,12.674196681056712,5.7177816141234645
9,4,12.922057528664283,7.266540315707564
9,5,13.070802286264616,8.644033243719042
9,6,13.122096392178447,9.85810394933661
9,7,13.074933421454478,10.920627728175914
9,8,12.926868179498468,11.849687162556526
9,9,12.673801135809725,12.673801135809725
9,10,12.307658702858294,13.439680175215077
9,11,11.862665287932652,14.187618062809037
9,12,11.317568578755408,15.038610616431662
9,13,10.808549699819421,16.060807014208322
9,14,10.384760523591769,17.25278872102622
9,15,10.100505063388335,18.585786437626904
9,16,10.185670497729069,19.999999960049095
9,17,10.100505063388335,21.414213562373096
9,18,10.384760523591769,22.74721127897378
9,19,10.808549699819421,23.939192985791678
9,20,11.317568578755408,24.96138938356834
9,21,11.862665287932652,25.812381937190963
9,22,12.302519915857582,26.568454209494394
9,23,12.65726338396204,27.35322047775618
9,24,12.890361192999869,28.21149046234647
9,25,13.008442388432353,29.192155793780557
9,26,13.013951931195804,30.325137373001102
9,27,12.907129240438568,31.629453767857342
9,28,12.68600776528779,33.1175411316934
9,29,12.344903313104258,34.797442321303805
9,30,11.872574768830816,36.67411561401496
9,31,11.25,38.75
10,0,12.5,0.0
10,1,13.05724224234915,2.1327170085926412
10,2,13.482418487006226,4.063404875991989
10,3,13.794022666229061,5.794524905683787
10,4,14.000984824442824,7.328924824919394
10,5,14.106012887010731,8.670604211935702
10,6,14.107168105503165,9.825946799076108
10,7,13.999645487796615,10.805249788781863
10,8,13.778618598121467,11.624213391517923
10,9,13.439680175215077,12.307658702858298
10,10,12.928932188134524,12.928932188134524
10,11,12.317787204026242,13.5981560033552
10,12,11.679497056621562,14.452998037747708
10,13,11.37419036088686,15.672907486951965
10,14,11.016754385860011,17.110927804389547
10,15,10.806997572744354,18.475330114078556
10,16,10.826472976595909,19.99999976364775
10,17,10.806997585147746,21.52466948811827
10,18,11.016754405501715,22.889071880331613
10,19,11.374190377416099,24.327092335884842
10,20,11.679497056621562,25.547001962252292
10,21,12.317787204026242,26.4018439966448
10,22,12.928932188134524,27.071067811865476
10,23,13.432345078283362,27.705227334000174
10,24,13.75408017384282,28.420926716740297
10,25,13.947859183912815,29.29231502822267
10,26,14.016920739363407,30.34540193887251
10,27,13.964169211624622,31.59678698231424
10,28,13.791654859496784,33.05735777724378
10,29,13.49745982538494,34.733864948539726
10,30,13.07321281047401,36.6304892540723
10,31,12.5,38.75
11,0,13.75,0.0
11,1,14.225075547355571,2.1717399644249826
11,2,14.588964669916304,4.121934053931913
11,3,14.848860374627465,5.853747845229898
11,4,15.008766360825351,7.3691025530215235
11,5,15.067414916886444,8.670299226114512
11,6,15.018296889185205,9.76184771423061
11,7,14.851084480636747,10.652752446967666
11,8,14.559067549356195,11.356215345859301
11,9,14.187618062809037,11.862665287932652
11,10,13.5981560033552,12.317787204026242
11,11,13.126917642608705,13.126917642608705
11,12,12.563787908267374,14.196885520876446
11,13,12.27171471098062,15.444901008001683
11,14,11.977128402448423,16.943919822551855
11,15,11.807500575365044,18.389121919134464
11,16,11.797549155815686,19.99999944936053
11,17,11.807500606983185,21.610877066833858
11,18,11.977128455189161,23.056079330904847
11,19,12.271714765305584,24.5550984097518
11,20,12.563787944953999,25.80311418356236
11,21,13.126917661871225,26.873082232885377
11,22,13.5981560033552,27.682212795973758
11,23,14.187618062809037,28.13733471206735
11,24,14.54477572690611,28.67325750748246
